,Unnamed: 0,codigo_ibge,nome,populacao,new_ibge
0,0,2300101,Abaiara,11965,230010
1,1,2300150,Acarape,15140,230015
2,2,2300200,Acaraú,63556,230020
3,3,2300309,Acopiara,54687,230030
4,4,2300408,Aiuaba,17584,230040
5,5,2300507,Alcântaras,11846,230050
6,6,2300606,Altaneira,7712,230060
7,7,2300705,Alto Santo,16077,230070
8,8,2300754,Amontada,44195,230075
9,9,2300804,Antonina do Norte,7402,230080
10,10,2300903,Apuiarés,14742,230090
11,11,2301000,Aquiraz,81581,230100
12,12,2301109,Aracati,75392,230110
13,13,2301208,Aracoiaba,26600,230120
14,14,2301257,Ararendá,10983,230125
15,15,2301307,Araripe,21707,230130
16,16,2301406,Aratuba,11759,230140
17,17,2301505,Arneiroz,7848,230150
18,18,2301604,Assaré,23537,230160
19,19,2301703,Aurora,24567,230170
20,20,2301802,Baixio,6318,230180
21,21,2301851,Banabuiú,18313,230185
22,22,2301901,Barbalha,61662,230190
23,23,2301950,Barreira,22715,230195
24,24,2302008,Barro,22834,230200
25,25,2302057,Barroquinha,15069,230205
26,26,2302107,Baturité,36127,230210
27,27,2302206,Beberibe,54315,230220
28,28,2302305,Bela Cruz,32851,230230
29,29,2302404,Boa Viagem,54680,230240
30,30,2302503,Brejo Santo,50195,230250
31,31,2302602,Camocim,64147,230260
32,32,2302701,Campos Sales,27513,230270
33,33,2302800,Canindé,77484,230280
34,34,2302909,Capistrano,17830,230290
35,35,2303006,Caridade,23011,230300
36,36,2303105,Cariré,18470,230310
37,37,2303204,Caririaçu,27008,230320
38,38,2303303,Cariús,18700,230330
39,39,2303402,Carnaubal,17763,230340
40,40,2303501,Cascavel,72706,230350
41,41,2303600,Catarina,21041,230360
42,42,2303659,Catunda,10410,230365
43,43,2303709,Caucaia,368918,230370
44,44,2303808,Cedro,25612,230380
45,45,2303907,Chaval,13112,230390
46,46,2303931,Choró,13608,230393
47,47,2303956,Chorozinho,20286,230395
48,48,2304004,Coreaú,23340,230400
49,49,2304103,Crateús,75241,230410
50,50,2304202,Crato,133913,230420
51,51,2304236,Croatá,18201,230423
52,52,2304251,Cruz,25121,230425
53,53,2304269,Deputado Irapuan Pinheiro,9698,230426
54,54,2304277,Ereré,7254,230427
55,55,2304285,Eusébio,55035,230428
56,56,2304301,Farias Brito,19330,230430
57,57,2304350,Forquilha,24680,230435
58,58,2304400,Fortaleza,2703391,230440
59,59,2304459,Fortim,16776,230445
60,60,2304509,Frecheirinha,14195,230450
61,61,2304608,General Sampaio,7767,230460
62,62,2304657,Graça,14415,230465
63,63,2304707,Granja,55170,230470
64,64,2304806,Granjeiro,4784,230480
65,65,2304905,Groaíras,11219,230490
66,66,2304954,Guaiúba,26508,230495
67,67,2305001,Guaraciaba do Norte,40921,230500
68,68,2305100,Guaramiranga,5073,230510
69,69,2305209,Hidrolândia,20126,230520
70,70,2305233,Horizonte,69688,230523
71,71,2305266,Ibaretama,13385,230526
72,72,2305308,Ibiapina,25165,230530
73,73,2305332,Ibicuitinga,12730,230533
74,74,2305357,Icapuí,20183,230535
75,75,2305407,Icó,68303,230540
76,76,2305506,Iguatu,103633,230550
77,77,2305605,Independência,26196,230560
78,78,2305654,Ipaporanga,11597,230565
79,79,2305704,Ipaumirim,12507,230570
80,80,2305803,Ipu,42148,230580
81,81,2305902,Ipueiras,38064,230590
82,82,2306009,Iracema,14351,230600
83,83,2306108,Irauçuba,24450,230610
84,84,2306207,Itaiçaba,7904,230620
85,85,2306256,Itaitinga,38661,230625
86,86,2306306,Itapajé,53448,230630
87,87,2306405,Itapipoca,131687,230640
88,88,2306504,Itapiúna,20653,230650
89,89,2306553,Itarema,42595,230655
90,90,2306603,Itatira,22018,230660
91,91,2306702,Jaguaretama,18133,230670
92,92,2306801,Jaguaribara,11580,230680
93,93,2306900,Jaguaribe,34592,230690
94,94,2307007,Jaguaruana,33960,230700
95,95,2307106,Jardim,27187,230710
96,96,2307205,Jati,8150,230720
97,97,2307254,Jijoca de Jericoacoara,20351,230725
98,98,2307304,Juazeiro do Norte,278264,230730
99,99,2307403,Jucás,24949,230740
100,100,2307502,Lavras da Mangabeira,31476,230750
101,101,2307601,Limoeiro do Norte,60232,230760
102,102,2307635,Madalena,20031,230763
103,103,2307650,Maracanaú,230986,230765
104,104,2307700,Maranguape,131677,230770
105,105,2307809,Marco,27822,230780
106,106,2307908,Martinópole,11407,230790
107,107,2308005,Massapê,39341,230800
108,108,2308104,Mauriti,48370,230810
109,109,2308203,Meruoca,15309,230820
110,110,2308302,Milagres,27413,230830
111,111,2308351,Milhã,13129,230835
112,112,2308377,Miraíma,13965,230837
113,113,2308401,Missão Velha,35566,230840
114,114,2308500,Mombaça,43917,230850
115,115,2308609,Monsenhor Tabosa,17264,230860
116,116,2308708,Morada Nova,61590,230870
117,117,2308807,Moraújo,8833,230880
118,118,2308906,Morrinhos,22830,230890
119,119,2309003,Mucambo,14561,230900
120,120,2309102,Mulungu,11056,230910
121,121,2309201,Nova Olinda,15798,230920
122,122,2309300,Nova Russas,32487,230930
123,123,2309409,Novo Oriente,28737,230940
124,124,2309458,Ocara,25958,230945
125,125,2309508,Orós,21342,230950
126,126,2309607,Pacajus,74145,230960
127,127,2309706,Pacatuba,85647,230970
128,128,2309805,Pacoti,12313,230980
129,129,2309904,Pacujá,6565,230990
130,130,2310001,Palhano,9458,231000
131,131,2310100,Palmácia,13553,231010
132,132,2310209,Paracuru,35526,231020
133,133,2310258,Paraipaba,33232,231025
134,134,2310308,Parambu,31391,231030
135,135,2310407,Paramoti,12276,231040
136,136,2310506,Pedra Branca,43359,231050
137,137,2310605,Penaforte,9207,231060
138,138,2310704,Pentecoste,38045,231070
139,139,2310803,Pereiro,16356,231080
140,140,2310852,Pindoretama,20964,231085
141,141,2310902,Piquet Carneiro,17210,231090
142,142,2310951,Pires Ferreira,11052,231095
143,143,2311009,Poranga,12358,231100
144,144,2311108,Porteiras,14920,231110
145,145,2311207,Potengi,11165,231120
146,146,2311231,Potiretama,6455,231123
147,147,2311264,Quiterianópolis,21246,231126
148,148,2311306,Quixadá,88899,231130
149,149,2311355,Quixelô,16116,231135
150,150,2311405,Quixeramobim,82455,231140
151,151,2311504,Quixeré,22432,231150
152,152,2311603,Redenção,29238,231160
153,153,2311702,Reriutaba,18279,231170
154,154,2311801,Russas,79550,231180
155,155,2311900,Saboeiro,15757,231190
156,156,2311959,Salitre,16714,231195
157,157,2312007,Santana do Acaraú,32851,231200
158,158,2312106,Santana do Cariri,17726,231210
159,159,2312205,Santa Quitéria,43719,231220
160,160,2312304,São Benedito,48354,231230
161,161,2312403,São Gonçalo do Amarante,49306,231240
162,162,2312502,São João do Jaguaribe,7557,231250
163,163,2312601,São Luís do Curu,13086,231260
164,164,2312700,Senador Pompeu,25418,231270
165,165,2312809,Senador Sá,7758,231280
166,166,2312908,Sobral,212437,231290
167,167,2313005,Solonópole,18389,231300
168,168,2313104,Tabuleiro do Norte,32079,231310
169,169,2313203,Tamboril,26199,231320
170,170,2313252,Tarrafas,8555,231325
171,171,2313302,Tauá,59259,231330
172,172,2313351,Tejuçuoca,19551,231335
173,173,2313401,Tianguá,77111,231340
174,174,2313500,Trairi,56653,231350
175,175,2313559,Tururu,16588,231355
176,176,2313609,Ubajara,35295,231360
177,177,2313708,Umari,7740,231370
178,178,2313757,Umirim,19976,231375
179,179,2313807,Uruburetama,22223,231380
180,180,2313906,Uruoca,13988,231390
181,181,2313955,Varjota,18520,231395
182,182,2314003,Várzea Alegre,41078,231400
183,183,2314102,Viçosa do Ceará,61916,231410
